Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.9099999999999999,symmetric,0.3471602563665957
75% Corpus,6,symmetric,0.01,0.3523102924608797
75% Corpus,6,symmetric,0.31,0.34188388183926016
75% Corpus,6,symmetric,0.61,0.360767453306877
75% Corpus,6,symmetric,0.9099999999999999,0.34734652149724377
75% Corpus,6,symmetric,symmetric,0.33760713754944466
75% Corpus,6,asymmetric,0.01,0.36011837406513103
75% Corpus,6,asymmetric,0.31,0.2998670280545561
75% Corpus,6,asymmetric,0.61,0.3513724933186028
75% Corpus,6,asymmetric,0.9099999999999999,0.4516138513587857
75% Corpus,6,asymmetric,symmetric,0.3186367806971918
75% Corpus,7,0.01,0.01,0.3794768482409074
75% Corpus,7,0.01,0.31,0.36083650994181254
75% Corpus,7,0.01,0.61,0.35181912636209894
75% Corpus,7,0.01,0.9099999999999999,0.36144482431219266
75% Corpus,7,0.01,symmetric,0.35120263758046816
75% Corpus,7,0.31,0.01,0.3494363576792269
75% Corpus,7,0.31,0.31,0.36732396756076796
75% Corpus,7,0.31,0.61,0.3400536234131003
75% Corpus,7,0.31,0.9099999999999999,0.36842561169706717
75% Corpus,7,0.31,symmetric,0.36341430296810395
75% Corpus,7,0.61,0.01,0.3471156447074269
75% Corpus,7,0.61,0.31,0.3430882764050632
75% Corpus,7,0.61,0.61,0.3666372568884654
75% Corpus,7,0.61,0.9099999999999999,0.419764152756782
75% Corpus,7,0.61,symmetric,0.3606412661735815
75% Corpus,7,0.9099999999999999,0.01,0.3888642437213239
75% Corpus,7,0.9099999999999999,0.31,0.34310810331738045
75% Corpus,7,0.9099999999999999,0.61,0.3372678360368913
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.41450086315433765
75% Corpus,7,0.9099999999999999,symmetric,0.35072779685729616
75% Corpus,7,symmetric,0.01,0.34695971443251084
75% Corpus,7,symmetric,0.31,0.33417630623242556
75% Corpus,7,symmetric,0.61,0.3437827176813821
75% Corpus,7,symmetric,0.9099999999999999,0.36855828652186456
75% Corpus,7,symmetric,symmetric,0.36079353664781266
75% Corpus,7,asymmetric,0.01,0.3367121723712879
75% Corpus,7,asymmetric,0.31,0.3259653641346024
75% Corpus,7,asymmetric,0.61,0.38329902135809407
75% Corpus,7,asymmetric,0.9099999999999999,0.39956911993479255
75% Corpus,7,asymmetric,symmetric,0.2840863471561171
75% Corpus,8,0.01,0.01,0.3434054406841397
75% Corpus,8,0.01,0.31,0.32562161528099365
75% Corpus,8,0.01,0.61,0.36159075882296704
75% Corpus,8,0.01,0.9099999999999999,0.3696476505403158
75% Corpus,8,0.01,symmetric,0.33336818433230025
75% Corpus,8,0.31,0.01,0.37115339073639
75% Corpus,8,0.31,0.31,0.3445121701955821
75% Corpus,8,0.31,0.61,0.3585920022642144
75% Corpus,8,0.31,0.9099999999999999,0.39623830287781797
75% Corpus,8,0.31,symmetric,0.3348391816770784
75% Corpus,8,0.61,0.01,0.36068532016405785
75% Corpus,8,0.61,0.31,0.3649662931055595
75% Corpus,8,0.61,0.61,0.38071079043931255
75% Corpus,8,0.61,0.9099999999999999,0.36167084677252087
75% Corpus,8,0.61,symmetric,0.35673825971685563
75% Corpus,8,0.9099999999999999,0.01,0.34050472375479685
75% Corpus,8,0.9099999999999999,0.31,0.3345764886688798
75% Corpus,8,0.9099999999999999,0.61,0.3623749375728452
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.29787267795502237
75% Corpus,8,0.9099999999999999,symmetric,0.34765550371275655
75% Corpus,8,symmetric,0.01,0.34510408426310163
75% Corpus,8,symmetric,0.31,0.33922716496814037
