Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.61,0.3396758310062552
100% Corpus,9,0.31,0.9099999999999999,0.37858467050880684
100% Corpus,9,0.31,symmetric,0.38520006808812185
100% Corpus,9,0.61,0.01,0.35685341702129386
100% Corpus,9,0.61,0.31,0.35523879043114126
100% Corpus,9,0.61,0.61,0.3730616288753357
100% Corpus,9,0.61,0.9099999999999999,0.31066047198253294
100% Corpus,9,0.61,symmetric,0.3589016827191422
100% Corpus,9,0.9099999999999999,0.01,0.3497392911458787
100% Corpus,9,0.9099999999999999,0.31,0.3432331568792727
100% Corpus,9,0.9099999999999999,0.61,0.3562080996245758
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.3482866480953782
100% Corpus,9,0.9099999999999999,symmetric,0.3484500602776993
100% Corpus,9,symmetric,0.01,0.34778705698526996
100% Corpus,9,symmetric,0.31,0.36300375943635255
100% Corpus,9,symmetric,0.61,0.3624391441113166
100% Corpus,9,symmetric,0.9099999999999999,0.37131181102760347
100% Corpus,9,symmetric,symmetric,0.35388898406791924
100% Corpus,9,asymmetric,0.01,0.31851418304465245
100% Corpus,9,asymmetric,0.31,0.2903489036623806
100% Corpus,9,asymmetric,0.61,0.3471849579276248
100% Corpus,9,asymmetric,0.9099999999999999,0.3064194205356982
100% Corpus,9,asymmetric,symmetric,0.31313896197973107
100% Corpus,10,0.01,0.01,0.31059080487384244
100% Corpus,10,0.01,0.31,0.29768442656560723
100% Corpus,10,0.01,0.61,0.33249428184980223
100% Corpus,10,0.01,0.9099999999999999,0.4265709782745799
100% Corpus,10,0.01,symmetric,0.31636810536113247
100% Corpus,10,0.31,0.01,0.35507244149011646
100% Corpus,10,0.31,0.31,0.34324289233254984
100% Corpus,10,0.31,0.61,0.3418417411314758
100% Corpus,10,0.31,0.9099999999999999,0.3649723269962776
100% Corpus,10,0.31,symmetric,0.327591013529721
100% Corpus,10,0.61,0.01,0.31389915460614476
100% Corpus,10,0.61,0.31,0.3243866674798679
100% Corpus,10,0.61,0.61,0.3800849934920503
100% Corpus,10,0.61,0.9099999999999999,0.3417125147448882
100% Corpus,10,0.61,symmetric,0.33661231423721755
100% Corpus,10,0.9099999999999999,0.01,0.33343444119639515
100% Corpus,10,0.9099999999999999,0.31,0.322250917048888
100% Corpus,10,0.9099999999999999,0.61,0.3439321795513039
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3654404715722047
100% Corpus,10,0.9099999999999999,symmetric,0.3466424626801693
100% Corpus,10,symmetric,0.01,0.3166881150155645
100% Corpus,10,symmetric,0.31,0.33073260635176316
100% Corpus,10,symmetric,0.61,0.36031924939681026
100% Corpus,10,symmetric,0.9099999999999999,0.33750236468435907
100% Corpus,10,symmetric,symmetric,0.3402766352725751
100% Corpus,10,asymmetric,0.01,0.3212744609047121
100% Corpus,10,asymmetric,0.31,0.3845645425818359
100% Corpus,10,asymmetric,0.61,0.4102101615138066
100% Corpus,10,asymmetric,0.9099999999999999,0.3441315252394199
100% Corpus,10,asymmetric,symmetric,0.30565952113146133
